Sk13755;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;R1立柱;C40;120±30;8;37米泵;2020-08-31 13:00;2
Sk13756;WHT-17-196;西虹桥商务区徐泾中32-01地块项目;地下三层地坪;C25无灰;120±30;110;非泵;2020-08-31 06:00;50
Sk13757;WHT-20-035;新建闵行区华漕镇华漕社区MHP0-1403单元13-01地块动迁安置房项目;围墙垫层;C15;120±30;10;非泵;2020-08-31 09:00;42
Sk13758;WHT-17-176;上海百汇医院新建项目;地下室地坪;C20细石;180±20;30;非泵;2020-08-31 07:00;39
Sk13759;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;R5承台垫层;C15;120±30;8;非泵;2020-08-31 04:00;2
Sk13760;WHT-20-007;重固派出所;体育场屋面保护层;C20细石;120±30;24;37米泵;2020-08-31 06:00;25
Sk13761;WHT-17-222;新建闵行区华漕镇华漕社区MHp0-1402单元05-06地块动迁安置房项目;05一06地块地库地坪;C25细石;120±30;10;非泵;2020-08-31 06:00;42
Sk13762;WHT-17-222;新建闵行区华漕镇华漕社区MHp0-1402单元05-06地块动迁安置房项目;05一06地块主干道路基停车位地坪;C30;120±30;100;62米泵;2020-08-31 05:00;42
Sk13763;WHT-17-271;虹桥商务区G1MH-0001单元III-T01-A02-02地块租赁住房项目;1#楼13F构造柱、12F天井反坎;C25细石;140±30;10;非泵;2020-08-31 05:00;48
Sk13764;2018101301;朱家角E-3地块;12号、13号楼地下室地坪;C20细石;120±30;30;非泵;2020-08-31 05:00;55
Sk13765;HT1-15-33;青浦区夏阳街道盈港路北侧地块;楼梯顶板，道路基层;C30;120±30;20;37米泵;2020-08-31 06:00;30
Sk13766;HT1-15-33;青浦区夏阳街道盈港路北侧地块;顶板保护层;C20细石;120±30;20;非泵;2020-08-31 06:00;30
Sk13767;HT1-15-33;青浦区夏阳街道盈港路北侧地块;负二层地坪;C20;120±30;100;非泵;2020-08-31 06:00;30
Sk13768;WHT-20-013;闵行区华漕镇MHP0-1402单元09-04地块项目;地下车库7~16轴交J~U轴;C35P6;150±30;840;70米泵;2020-08-31 06:00;33
Sk13769;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;R7承台;C35;120±30;169;37米泵;2020-08-31 01:30;2
Sk13770;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;试桩桩帽;C40;120±30;1.5;非泵;2020-08-31 08:00;2
Sk13771;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;Y32-y31雨水基础井底板;C25;120±30;12;非泵;2020-08-31 07:00;2
Sk13772;WHT-17-300;青浦区徐泾镇蟠中路南侧28-02地块项目;腰梁构造柱;C30细石;120±30;20;非泵;2020-08-31 06:00;45
Sk13773;WHT-17-300;青浦区徐泾镇蟠中路南侧28-02地块项目;地坪;C20细石;120±30;20;非泵;2020-08-31 06:00;45
Sk13774;WHT-17-300;青浦区徐泾镇蟠中路南侧28-02地块项目;二号楼女儿墙;C20细石;120±30;20;非泵;2020-08-31 06:00;45
Sk13775;WHT-17-330;海博西虹桥冷链物流园项目（二期）工程;冷库地下室4-1～4-11轴/G~4-D轴及2#汽车坡道基础底板;C35P6SY-T8%;150±30;1280;70米泵,50米;2020-08-31 05:30;31
Sk13776;WHT-20-025;外青松公路（白石公路-江苏省界）新改建工程2标（鹤祥路-安鹤路）段;试桩桩帽;C40;120±30;1.5;非泵;2020-08-31 08:00;2
Sk13777;WHT-20-047;闵行区华漕镇MHP0-1403单元30-01地块新建租赁住宅项目;道路;C30;120±30;200;70米泵;2020-08-31 07:00;33
Sk13778;WHT-20-042;私人陆建铭（现买单）;基础垫层;C15;120±30;15;37米泵;2020-08-31 13:00;38
Sk13779;JX050-2017;青浦区徐泾镇蟠龙路西侧13-02地块商办项目;新生活区地坪;C25;120±30;20;非泵;2020-08-31 06:00;45
Sk13781;WHT-20-033;中国核建上海科创园建设项目 C20-02 地块;栈桥支撑砼;C30;160±20;400;62米泵;2020-08-31 08:00;45
Sk13783;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;便道修补;C30;200±20;20;非泵;2020-08-31 14:00;58
Sk13784;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段19号板1-2钻孔桩;C40水下;200±20;19;非泵;2020-08-31 16:00;58
Sk13785;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段19号板1-1钻孔桩;C40水下;200±20;19;非泵;2020-08-31 05:00;58
Sk13786;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段14号板2-4钻孔桩;C40水下;200±20;19;非泵;2020-08-31 20:00;58
Sk13787;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段14号板2-3钻孔桩;C40水下;200±20;19;非泵;2020-08-31 10:00;58
Sk13788;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段14号扳2-2钻孔桩;C40水下;200±20;19;非泵;2020-08-31 00:30;58
Sk13789;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段17号板3-3钻孔桩;C40水下;200±20;19;非泵;2020-08-31 07:00;58
Sk13790;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段9号板1-1钻孔桩;C40水下;200±20;19;非泵;2020-08-31 18:00;58
Sk13791;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;路基三段9号板1-2钻孔桩;C40水下;200±20;19;非泵;2020-08-31 07:00;58
Sk13792;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;七宝站B13-1钻孔桩;C40水下;200±20;52;非泵;2020-08-31 01:30;58
Sk13793;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;七宝站B9-3钻孔桩;C40水下;200±20;51;非泵;2020-08-31 12:30;58
Sk13794;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;姚浜竖A-10钻孔桩;C40水下;200±20;17;非泵;2020-08-31 16:00;58
Sk13795;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;姚浜竖A-31钻孔桩;C40水下;200±20;17;非泵;2020-08-31 14:00;58
Sk13796;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;姚浜竖A-14钻孔桩;C40水下;200±20;17;非泵;2020-08-31 01:00;58
Sk13797;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;姚浜竖A-32钻孔桩;C40水下;200±20;17;非泵;2020-08-31 01:00;58
Sk13798;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;34-4钻孔桩;C40水下;200±20;47;非泵;2020-08-31 18:00;58
Sk13799;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;33-7钻孔桩;C40水下;200±20;44;非泵;2020-08-31 14:00;58
Sk13800;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;38#-3钻孔桩;C40水下;200±20;150;非泵;2020-08-31 23:30;58
Sk13801;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;修筑便道;C25;200±20;100;非泵;2020-08-31 14:00;58
Sk13802;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;43#承台基础;C20;200±20;17;非泵;2020-08-31 07:00;58
Sk13803;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;41#承台基础;C20;200±20;17;非泵;2020-08-31 07:00;58
Sk13804;WHT-17-405;上海轨道交通市域线机场联络线（西段）JCXSG-1标;七宝站B13-2钻孔桩;C40水下;200±20;17;非泵;2020-08-31 21:30;58
Sk13805;WHT-17-366;上海雨润肉食品有限公司改扩建项目2;联合厂房3二层3-B轴/13轴至19轴柱子;C40;140±20;10;非泵;2020-08-31 06:00;21
Sk13806;WHT-17-366;上海雨润肉食品有限公司改扩建项目2;联合厂房2地下室二次结构;C25细石;140±20;5;非泵;2020-08-31 06:00;21
Sk13807;WHT-20-029;上海虹桥中药饮片有限公司新建厂房项目;1#塔吊基础;C35;120±30;40;45米泵;2020-08-31 09:00;19
Sk13808;2019061102;申昆自用;自用;C60;120±30;3;非泵;2020-08-31 08:00;1
